50050050;sEA;1
50050042;sEA;1
50050034;sEA;1
50030043;sEA;500000
50040021;sEA;500000
50020022;sEA;1
50020029;sEA;1
50020030;sEA;500000
50040036;sEA;1
50050014;sEA;1
50020037;sEA;1
50030015;sEA;500000
50040005;sEA;1
50040048;sEA;1
50050030;sEA;1
50030031;sEA;500000
50020006;sEA;500000
50020049;sEA;500000
50050026;sEA;500000
50020010;sEA;500000
50030027;sEA;500000
50040017;sEA;288
50030004;sEA;394
50020018;sEA;500000
50030047;sEA;500000
50020042;sEA;1
50050003;sEA;1
50020050;sEA;274
50020033;sEA;500000
50040041;sEA;1
50050029;sEA;1
50040024;sEA;1
50030038;sEA;1
50050046;sEA;1
50020025;sEA;500000
50050011;sEA;1
50030012;sEA;500000
50050037;sEA;1
50030023;sEA;500000
50040028;sEA;1
50040002;sEA;1
50030019;sEA;500000
50040032;sEA;500000
50040045;sEA;1
50050018;sEA;1
50020014;sEA;1
50040013;sEA;1
50040009;sEA;1
50030040;sEA;500000
50050022;sEA;1
50020021;sEA;500000
50050025;sEA;1
50040012;sEA;1
50030034;sEA;500000
50020005;sEA;1
50020048;sEA;500000
50040037;sEA;1
50030008;sEA;500000
50050015;sEA;500000
50030042;sEA;500000
50050031;sEA;1
50020011;sEA;1
50040049;sEA;1
50030028;sEA;500000
50040006;sEA;1
50050043;sEA;1
50040022;sEA;1
50050009;sEA;1
50040040;sEA;1
50020036;sEA;1
50030014;sEA;500000
50030039;sEA;500000
50020026;sEA;500000
50020043;sEA;500000
50050004;sEA;1
50040050;sEA;500000
50030013;sEA;500000
50050047;sEA;1
50020009;sEA;500000
50050021;sEA;1
50030046;sEA;1
50030003;sEA;1
50040016;sEA;1
50030030;sEA;500000
50030020;sEA;281
50040033;sEA;1
50030029;sEA;500000
50020015;sEA;500000
50020032;sEA;1
50050019;sEA;1
50030007;sEA;500000
50050010;sEA;1
50030024;sEA;500000
50050036;sEA;1
50030041;sEA;500000
50040027;sEA;500000
50030035;sEA;500000
50030018;sEA;500000
50040001;sEA;1
50040044;sEA;1
50030009;sEA;500000
50020039;sEA;299
50020004;sEA;500000
50040038;sEA;1
50050008;sEA;1
50030017;sEA;500000
50020020;sEA;498
50050032;sEA;1
50050016;sEA;1
50030033;sEA;500000
50040011;sEA;1
50030025;sEA;500000
50020047;sEA;1
50020012;sEA;500000
50040046;sEA;1
50040003;sEA;1
50050024;sEA;1
50020040;sEA;500000
50040023;sEA;1
50050001;sEA;1
50030045;sEA;500000
50050044;sEA;1
50020024;sEA;500000
50030002;sEA;500000
50020019;sEA;500000
50050039;sEA;1
50040018;sEA;1
50030021;sEA;1
50040026;sEA;1
50040034;sEA;1
50040043;sEA;500000
50020035;sEA;1
50020008;sEA;500000
50020016;sEA;500000
50050020;sEA;1
50040007;sEA;1
50030010;sEA;500000
50030036;sEA;500000
50030006;sEA;500000
50020031;sEA;377
50040015;sEA;1
50040030;sEA;1
50050048;sEA;1
50020027;sEA;1
50020001;sEA;1
50020044;sEA;286
50050005;sEA;1
50030049;sEA;500000
50050035;sEA;1
50040047;sEA;1
50020013;sEA;500000
50040039;sEA;1
50050017;sEA;1
50030050;sEA;1094
50030026;sEA;500000
50040004;sEA;1
50040029;sEA;1
50030016;sEA;500000
50020046;sEA;500000
50050007;sEA;1
50050041;sEA;1
50020003;sEA;1
50040020;sEA;1
50050033;sEA;1
50020038;sEA;500000
50020007;sEA;1
50040010;sEA;500000
50030032;sEA;500000
50050045;sEA;500000
50050027;sEA;1
50040019;sEA;1
50040035;sEA;1
50050013;sEA;1
50020041;sEA;500000
50030001;sEA;500000
50030044;sEA;500000
50020023;sEA;500000
50040042;sEA;1
50050012;sEA;500000
50020017;sEA;299
50040025;sEA;1
50040008;sEA;1
50050038;sEA;1
50030011;sEA;500000
50050002;sEA;1
50050028;sEA;1
50020034;sEA;500000
50020045;sEA;500000
50050006;sEA;1
50050049;sEA;1
50020028;sEA;500000
50020002;sEA;500000
50030037;sEA;500000
50050040;sEA;1
50050023;sEA;1
50030022;sEA;1
50030005;sEA;500000
50030048;sEA;500000
50040014;sEA;1
50040031;sEA;1
